0.038,0.45,17.3,0.04,18.7,2.5,0.08,333.06,33.31,12.60,287.16,0.04,0.040,0.86
0.033,0.45,17.3,0.04,18.5,2.5,0.07,339.14,33.91,10.80,294.43,0.04,0.030,0.87
0.032,0.45,17.3,0.04,18.6,2.5,0.07,339.60,33.96,11.70,293.94,0.04,0.030,0.87
0.106,0.59,13.9,0.17,17.7,2.0,0.18,410.68,41.07,27.35,342.26,0.08,0.070,0.83
0.075,0.59,13.9,0.17,14.3,2.0,0.13,459.58,45.96,2.88,410.74,0.01,0.010,0.89
0.050,0.50,13.9,0.17,12.0,2.0,0.08,498.34,43.80,-15.10,463.60,-0.03,-0.030,0.93
0.130,0.59,13.9,0.17,16.6,2.0,0.22,391.54,39.15,19.44,332.95,0.06,0.050,0.85
0.190,0.59,13.9,0.17,24.1,2.0,0.32,290.25,29.02,73.42,187.80,0.39,0.250,0.65
0.150,0.59,13.9,0.17,23.5,2.0,0.25,335.67,33.59,69.11,233.00,0.30,0.210,0.69
0.145,0.59,13.9,0.17,22.3,2.0,0.25,346.45,34.64,60.47,251.34,0.24,0.170,0.73
0.152,0.59,13.9,0.17,26.6,2.0,0.26,314.77,31.48,71.42,191.87,0.48,0.290,0.61
0.164,0.59,13.9,0.17,25.2,2.0,0.28,340.92,31.09,81.34,198.49,0.41,0.260,0.64
0.127,0.59,13.9,0.17,24.1,2.0,0.22,354.25,35.42,73.42,245.40,0.30,0.210,0.69
0.132,0.59,13.9,0.17,21.2,2.0,0.22,365.56,36.56,52.55,276.49,0.19,0.140,0.76
0.136,0.59,13.9,0.17,29.2,2.0,0.23,315.32,31.53,110.14,173.65,0.63,0.350,0.55
